# Icod.TermInfo standard capability catalog
#
# Canonical 0.8 source for the conventional ncurses/System V compatible
# standard compiled capability tables. BinaryIndex is per capability kind.
#
# Capability ordering/names/codes: ncurses include/Caps ABI tables,
# Caps revision 1.62 (2025-11-12); counts 44 bool / 39 num / 414 str.
# ManagedName preserves every public 0.7 enum identifier and supplies
# append-only identifiers for capabilities added in 0.8.
#
Kind	BinaryIndex	ShortName	LongName	TermcapCode	ManagedName
S	26	blink	enter_blink_mode	mb	EnterBlinkMode
S	27	bold	enter_bold_mode	md	EnterBoldMode
S	28	smcup	enter_ca_mode	ti	EnterCursorAddressingMode
S	29	smdc	enter_delete_mode	dm	EnterDeleteMode
S	30	dim	enter_dim_mode	mh	EnterDimMode
S	31	smir	enter_insert_mode	im	EnterInsertMode
S	32	invis	enter_secure_mode	mk	EnterInvisibleMode
S	33	prot	enter_protected_mode	mp	EnterProtectedMode
S	34	rev	enter_reverse_mode	mr	EnterReverseMode
S	35	smso	enter_standout_mode	so	EnterStandoutMode
S	36	smul	enter_underline_mode	us	EnterUnderlineMode
S	37	ech	erase_chars	ec	EraseCharacters
S	38	rmacs	exit_alt_charset_mode	ae	ExitAlternateCharacterSetMode
S	39	sgr0	exit_attribute_mode	me	ExitAttributeMode
S	40	rmcup	exit_ca_mode	te	ExitCursorAddressingMode
S	41	rmdc	exit_delete_mode	ed	ExitDeleteMode
S	42	rmir	exit_insert_mode	ei	ExitInsertMode
S	43	rmso	exit_standout_mode	se	ExitStandoutMode
S	44	rmul	exit_underline_mode	ue	ExitUnderlineMode
S	45	flash	flash_screen	vb	FlashScreen
S	46	ff	form_feed	ff	FormFeed
S	47	fsl	from_status_line	fs	FromStatusLine
S	48	is1	init_1string	i1	InitString1
S	49	is2	init_2string	is	InitString2
S	50	is3	init_3string	i3	InitString3
S	51	if	init_file	if	InitFile
S	52	ich1	insert_character	ic	InsertCharacter
S	53	il1	insert_line	al	InsertLine
S	54	ip	insert_padding	ip	InsertPadding
S	55	kbs	key_backspace	kb	KeyBackspace
S	56	ktbc	key_catab	ka	KeyCatab
S	57	kclr	key_clear	kC	KeyClear
S	58	kctab	key_ctab	kt	KeyCtab
S	59	kdch1	key_dc	kD	KeyDeleteCharacter
S	60	kdl1	key_dl	kL	KeyDl
S	61	kcud1	key_down	kd	KeyCursorDown
S	62	krmir	key_eic	kM	KeyEic
S	63	kel	key_eol	kE	KeyEol
S	64	ked	key_eos	kS	KeyEos
S	65	kf0	key_f0	k0	KeyF0
S	66	kf1	key_f1	k1	KeyF1
S	67	kf10	key_f10	k;	KeyF10
S	68	kf2	key_f2	k2	KeyF2
S	69	kf3	key_f3	k3	KeyF3
S	70	kf4	key_f4	k4	KeyF4
S	71	kf5	key_f5	k5	KeyF5
S	72	kf6	key_f6	k6	KeyF6
S	73	kf7	key_f7	k7	KeyF7
S	74	kf8	key_f8	k8	KeyF8
S	75	kf9	key_f9	k9	KeyF9
S	76	khome	key_home	kh	KeyHome
S	77	kich1	key_ic	kI	KeyInsertCharacter
S	78	kil1	key_il	kA	KeyIl
S	79	kcub1	key_left	kl	KeyCursorLeft
S	80	kll	key_ll	kH	KeyLl
S	81	knp	key_npage	kN	KeyNextPage
S	82	kpp	key_ppage	kP	KeyPreviousPage
S	83	kcuf1	key_right	kr	KeyCursorRight
S	84	kind	key_sf	kF	KeyScrollForward
S	85	kri	key_sr	kR	KeyScrollReverse
S	86	khts	key_stab	kT	KeyStab
S	87	kcuu1	key_up	ku	KeyCursorUp
S	88	rmkx	keypad_local	ke	ExitKeypadMode
S	89	smkx	keypad_xmit	ks	EnterKeypadMode
S	90	lf0	lab_f0	l0	LabF0
S	91	lf1	lab_f1	l1	LabF1
S	92	lf10	lab_f10	la	LabF10
S	93	lf2	lab_f2	l2	LabF2
S	94	lf3	lab_f3	l3	LabF3
S	95	lf4	lab_f4	l4	LabF4
S	96	lf5	lab_f5	l5	LabF5
S	97	lf6	lab_f6	l6	LabF6
S	98	lf7	lab_f7	l7	LabF7
S	99	lf8	lab_f8	l8	LabF8
S	100	lf9	lab_f9	l9	LabF9
S	101	rmm	meta_off	mo	ExitMetaMode
S	102	smm	meta_on	mm	EnterMetaMode
S	103	nel	newline	nw	NewLine
S	104	pad	pad_char	pc	PadChar
S	105	dch	parm_dch	DC	DeleteCharacters
S	106	dl	parm_delete_line	DL	DeleteLines
S	107	cud	parm_down_cursor	DO	CursorDown
S	108	ich	parm_ich	IC	InsertCharacters
S	109	indn	parm_index	SF	ScrollForwardLines
S	110	il	parm_insert_line	AL	InsertLines
S	111	cub	parm_left_cursor	LE	CursorLeft
S	112	cuf	parm_right_cursor	RI	CursorRight
S	113	rin	parm_rindex	SR	ScrollReverseLines
S	114	cuu	parm_up_cursor	UP	CursorUp
S	115	pfkey	pkey_key	pk	PkeyKey
S	116	pfloc	pkey_local	pl	PkeyLocal
S	117	pfx	pkey_xmit	px	PkeyXmit
S	118	mc0	print_screen	ps	PrintScreen
S	119	mc4	prtr_off	pf	PrinterOff
S	120	mc5	prtr_on	po	PrinterOn
S	121	rep	repeat_char	rp	RepeatCharacter
S	122	rs1	reset_1string	r1	ResetString1
S	123	rs2	reset_2string	r2	ResetString2
S	124	rs3	reset_3string	r3	ResetString3
S	125	rf	reset_file	rf	ResetFile
S	126	rc	restore_cursor	rc	RestoreCursor
S	127	vpa	row_address	cv	RowAddress
S	128	sc	save_cursor	sc	SaveCursor
S	129	ind	scroll_forward	sf	ScrollForward
S	130	ri	scroll_reverse	sr	ScrollReverse
S	131	sgr	set_attributes	sa	SetAttributes
S	132	hts	set_tab	st	SetTab
S	133	wind	set_window	wi	SetWindow
S	134	ht	tab	ta	Tab
S	135	tsl	to_status_line	ts	ToStatusLine
S	136	uc	underline_char	uc	UnderlineChar
S	137	hu	up_half_line	hu	UpHalfLine
S	138	iprog	init_prog	iP	InitProg
S	139	ka1	key_a1	K1	KeyA1
S	140	ka3	key_a3	K3	KeyA3
S	141	kb2	key_b2	K2	KeyB2
S	142	kc1	key_c1	K4	KeyC1
S	143	kc3	key_c3	K5	KeyC3
S	144	mc5p	prtr_non	pO	PrtrNon
S	145	rmp	char_padding	rP	CharPadding
S	146	acsc	acs_chars	ac	AlternateCharacterSet
S	147	pln	plab_norm	pn	PlabNorm
S	148	kcbt	key_btab	kB	KeyBackTab
S	149	smxon	enter_xon_mode	SX	EnterXonMode
S	150	rmxon	exit_xon_mode	RX	ExitXonMode
S	151	smam	enter_am_mode	SA	EnterAutomaticMargins
S	152	rmam	exit_am_mode	RA	ExitAutomaticMargins
S	153	xonc	xon_character	XN	XonCharacter
S	154	xoffc	xoff_character	XF	XoffCharacter
S	155	enacs	ena_acs	eA	EnableAlternateCharacterSet
S	156	smln	label_on	LO	LabelOn
S	157	rmln	label_off	LF	LabelOff
S	158	kbeg	key_beg	@1	KeyBegin
S	159	kcan	key_cancel	@2	KeyCancel
S	160	kclo	key_close	@3	KeyClose
S	161	kcmd	key_command	@4	KeyCommand
S	162	kcpy	key_copy	@5	KeyCopy
S	163	kcrt	key_create	@6	KeyCreate
S	164	kend	key_end	@7	KeyEnd
S	165	kent	key_enter	@8	KeyEnter
S	166	kext	key_exit	@9	KeyExit
S	167	kfnd	key_find	@0	KeyFind
S	168	khlp	key_help	%1	KeyHelp
S	169	kmrk	key_mark	%2	KeyMark
S	170	kmsg	key_message	%3	KeyMessage
S	171	kmov	key_move	%4	KeyMove
S	172	knxt	key_next	%5	KeyNext
S	173	kopn	key_open	%6	KeyOpen
S	174	kopt	key_options	%7	KeyOptions
S	175	kprv	key_previous	%8	KeyPrevious
S	176	kprt	key_print	%9	KeyPrint
S	177	krdo	key_redo	%0	KeyRedo
S	178	kref	key_reference	&1	KeyReference
S	179	krfr	key_refresh	&2	KeyRefresh
S	180	krpl	key_replace	&3	KeyReplace
S	181	krst	key_restart	&4	KeyRestart
S	182	kres	key_resume	&5	KeyResume
S	183	ksav	key_save	&6	KeySave
S	184	kspd	key_suspend	&7	KeySuspend
S	185	kund	key_undo	&8	KeyUndo
S	186	kBEG	key_sbeg	&9	KeySbeg
S	187	kCAN	key_scancel	&0	KeyScancel
S	188	kCMD	key_scommand	*1	KeyScommand
S	189	kCPY	key_scopy	*2	KeyScopy
S	190	kCRT	key_screate	*3	KeyScreate
S	191	kDC	key_sdc	*4	KeyShiftDeleteCharacter
S	192	kDL	key_sdl	*5	KeySdl
S	193	kslt	key_select	*6	KeySelect
S	194	kEND	key_send	*7	KeyShiftEnd
S	195	kEOL	key_seol	*8	KeySeol
S	196	kEXT	key_sexit	*9	KeySexit
S	197	kFND	key_sfind	*0	KeySfind
S	198	kHLP	key_shelp	#1	KeyShelp
S	199	kHOM	key_shome	#2	KeyShiftHome
S	200	kIC	key_sic	#3	KeyShiftInsertCharacter
S	201	kLFT	key_sleft	#4	KeyShiftLeft
S	202	kMSG	key_smessage	%a	KeySmessage
S	203	kMOV	key_smove	%b	KeySmove
S	204	kNXT	key_snext	%c	KeyShiftNextPage
S	205	kOPT	key_soptions	%d	KeySoptions
S	206	kPRV	key_sprevious	%e	KeyShiftPreviousPage
S	207	kPRT	key_sprint	%f	KeySprint
S	208	kRDO	key_sredo	%g	KeySredo
S	209	kRPL	key_sreplace	%h	KeySreplace
S	210	kRIT	key_sright	%i	KeyShiftRight
S	211	kRES	key_srsume	%j	KeySrsume
S	212	kSAV	key_ssave	!1	KeySsave
S	213	kSPD	key_ssuspend	!2	KeySsuspend
S	214	kUND	key_sundo	!3	KeySundo
S	215	rfi	req_for_input	RF	ReqForInput
S	216	kf11	key_f11	F1	KeyF11
S	217	kf12	key_f12	F2	KeyF12
S	218	kf13	key_f13	F3	KeyF13
S	219	kf14	key_f14	F4	KeyF14
S	220	kf15	key_f15	F5	KeyF15
S	221	kf16	key_f16	F6	KeyF16
S	222	kf17	key_f17	F7	KeyF17
S	223	kf18	key_f18	F8	KeyF18
S	224	kf19	key_f19	F9	KeyF19
S	225	kf20	key_f20	FA	KeyF20
S	226	kf21	key_f21	FB	KeyF21
S	227	kf22	key_f22	FC	KeyF22
S	228	kf23	key_f23	FD	KeyF23
S	229	kf24	key_f24	FE	KeyF24
S	230	kf25	key_f25	FF	KeyF25
S	231	kf26	key_f26	FG	KeyF26
S	232	kf27	key_f27	FH	KeyF27
S	233	kf28	key_f28	FI	KeyF28
S	234	kf29	key_f29	FJ	KeyF29
S	235	kf30	key_f30	FK	KeyF30
S	236	kf31	key_f31	FL	KeyF31
S	237	kf32	key_f32	FM	KeyF32
S	238	kf33	key_f33	FN	KeyF33
S	239	kf34	key_f34	FO	KeyF34
S	240	kf35	key_f35	FP	KeyF35
S	241	kf36	key_f36	FQ	KeyF36
S	242	kf37	key_f37	FR	KeyF37
S	243	kf38	key_f38	FS	KeyF38
S	244	kf39	key_f39	FT	KeyF39
S	245	kf40	key_f40	FU	KeyF40
S	246	kf41	key_f41	FV	KeyF41
S	247	kf42	key_f42	FW	KeyF42
S	248	kf43	key_f43	FX	KeyF43
S	249	kf44	key_f44	FY	KeyF44
S	250	kf45	key_f45	FZ	KeyF45
S	251	kf46	key_f46	Fa	KeyF46
S	252	kf47	key_f47	Fb	KeyF47
S	253	kf48	key_f48	Fc	KeyF48
S	254	kf49	key_f49	Fd	KeyF49
S	255	kf50	key_f50	Fe	KeyF50
S	256	kf51	key_f51	Ff	KeyF51
S	257	kf52	key_f52	Fg	KeyF52
S	258	kf53	key_f53	Fh	KeyF53
S	259	kf54	key_f54	Fi	KeyF54
S	260	kf55	key_f55	Fj	KeyF55
S	261	kf56	key_f56	Fk	KeyF56
S	262	kf57	key_f57	Fl	KeyF57
S	263	kf58	key_f58	Fm	KeyF58
S	264	kf59	key_f59	Fn	KeyF59
S	265	kf60	key_f60	Fo	KeyF60
S	266	kf61	key_f61	Fp	KeyF61
S	267	kf62	key_f62	Fq	KeyF62
S	268	kf63	key_f63	Fr	KeyF63
S	269	el1	clr_bol	cb	ClearToBeginningOfLine
S	270	mgc	clear_margins	MC	ClearMargins
S	271	smgl	set_left_margin	ML	SetLeftMargin
S	272	smgr	set_right_margin	MR	SetRightMargin
S	273	fln	label_format	Lf	LabelFormat
S	274	sclk	set_clock	SC	SetClock
S	275	dclk	display_clock	DK	DisplayClock
S	276	rmclk	remove_clock	RC	RemoveClock
S	277	cwin	create_window	CW	CreateWindow
S	278	wingo	goto_window	WG	GotoWindow
S	279	hup	hangup	HU	Hangup
S	280	dial	dial_phone	DI	DialPhone
S	281	qdial	quick_dial	QD	QuickDial
S	282	tone	tone	TO	Tone
S	283	pulse	pulse	PU	Pulse
S	284	hook	flash_hook	fh	FlashHook
S	285	pause	fixed_pause	PA	FixedPause
S	286	wait	wait_tone	WA	WaitTone
S	287	u0	user0	u0	User0
S	288	u1	user1	u1	User1
S	289	u2	user2	u2	User2
S	290	u3	user3	u3	User3
S	291	u4	user4	u4	User4
S	292	u5	user5	u5	User5
S	293	u6	user6	u6	User6
S	294	u7	user7	u7	User7
S	295	u8	user8	u8	User8
S	296	u9	user9	u9	User9
S	297	op	orig_pair	op	OriginalColorPair
S	298	oc	orig_colors	oc	OriginalColors
S	299	initc	initialize_color	Ic	InitializeColor
S	300	initp	initialize_pair	Ip	InitializePair
S	301	scp	set_color_pair	sp	SetColorPair
S	302	setf	set_foreground	Sf	SetLegacyForegroundColor
S	303	setb	set_background	Sb	SetLegacyBackgroundColor
S	304	cpi	change_char_pitch	ZA	ChangeCharPitch
S	305	lpi	change_line_pitch	ZB	ChangeLinePitch
S	306	chr	change_res_horz	ZC	ChangeResHorz
S	307	cvr	change_res_vert	ZD	ChangeResVert
S	308	defc	define_char	ZE	DefineChar
S	309	swidm	enter_doublewide_mode	ZF	EnterDoublewideMode
S	310	sdrfq	enter_draft_quality	ZG	EnterDraftQuality
S	311	sitm	enter_italics_mode	ZH	EnterItalicMode
S	312	slm	enter_leftward_mode	ZI	EnterLeftwardMode
S	313	smicm	enter_micro_mode	ZJ	EnterMicroMode
S	314	snlq	enter_near_letter_quality	ZK	EnterNearLetterQuality
S	315	snrmq	enter_normal_quality	ZL	EnterNormalQuality
S	316	sshm	enter_shadow_mode	ZM	EnterShadowMode
S	317	ssubm	enter_subscript_mode	ZN	EnterSubscriptMode
S	318	ssupm	enter_superscript_mode	ZO	EnterSuperscriptMode
S	319	sum	enter_upward_mode	ZP	EnterUpwardMode
S	320	rwidm	exit_doublewide_mode	ZQ	ExitDoublewideMode
S	321	ritm	exit_italics_mode	ZR	ExitItalicMode
S	322	rlm	exit_leftward_mode	ZS	ExitLeftwardMode
S	323	rmicm	exit_micro_mode	ZT	ExitMicroMode
S	324	rshm	exit_shadow_mode	ZU	ExitShadowMode
S	325	rsubm	exit_subscript_mode	ZV	ExitSubscriptMode
S	326	rsupm	exit_superscript_mode	ZW	ExitSuperscriptMode
S	327	rum	exit_upward_mode	ZX	ExitUpwardMode
S	328	mhpa	micro_column_address	ZY	MicroColumnAddress
S	329	mcud1	micro_down	ZZ	MicroDown
S	330	mcub1	micro_left	Za	MicroLeft
S	331	mcuf1	micro_right	Zb	MicroRight
S	332	mvpa	micro_row_address	Zc	MicroRowAddress
